,"Monocot-eudicot","O.sativa(Beijing)",,"A.thaliana",
"IPR000867","Insulin-like growth factor-binding protein","1","630","0","Inf"
"IPR000949","ELM2 domain","1","631","1","482"
"IPR000962","Prokaryotic dksA/traR C4-type zinc finger","1","632","0","Inf"
"IPR001054","Guanylate cyclase","1","633","0","Inf"
"IPR001162","Excinuclease ABC subunit C domain 2","1","634","0","Inf"
"IPR001240","N-(5'phosphoribosyl)anthranilate isomerase (PRAI)","1","635","0","Inf"
"IPR001346","Interferon regulatory factor family","1","636","1","490"
"IPR001505","Cu(A) centre of cytochrome c oxidase, subunit II and nitrous oxide reductase","1","637","0","Inf"
"IPR001699","T-box domain","1","638","0","Inf"
"IPR001705","Ribosomal protein L33","1","639","0","Inf"
"IPR001761","Periplasmic binding proteins and sugar binding domain, LacI family","1","640","0","Inf"
"IPR001875","Death effector domain","1","641","0","Inf"
"IPR002172","Low density lipoprotein (LDL)-receptor class A (LDLRA) domain","1","642","1","511"
"IPR002178","phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2","1","643","0","Inf"
"IPR002474","Carbamoyl-phosphate synthase small chain","1","644","1","517"
"IPR002545","CheW-like domain","1","645","0","Inf"
"IPR002558","I/LWEQ domain","1","646","0","Inf"
"IPR002563","Flavin reductase-like domain","1","647","0","Inf"
"IPR002620","Alphavirus nonstructural protein nsP1","1","648","0","Inf"
"IPR002819","HD domain","1","649","0","Inf"
"IPR002865","LexA DNA binding domain","1","650","0","Inf"
"IPR002883","Cellulose-binding domain","1","651","0","Inf"
"IPR003114","Domain associated with PX domains","1","652","0","Inf"
"IPR003115","ParB-like nuclease domain","1","653","0","Inf"
"IPR003122","Tar ligand binding domain","1","654","0","Inf"
"IPR003166","TFIIE beta subunit core domain","1","655","1","534"
"IPR003219","Cytochrome c, alcohol dehydrogenase-like subunit","1","656","0","Inf"
"IPR003257","Bacterial NUSG","1","657","0","Inf"
"IPR003327","Myc leucine zipper","1","658","0","Inf"
"IPR003343","Bacterial Ig-like domain (group 2)","1","659","0","Inf"
"IPR003456","Domain of unknown function DUF143","1","660","2","424"
"IPR003599","Immunoglobulin subtype","1","661","0","Inf"
"IPR003605","GS motif preceding kinase domain in TGF beta receptor","1","662","0","Inf"
"IPR003622","Potential DAG-kinase catalytic domain","1","663","0","Inf"
"IPR003665","Type I restriction-modification system, M subunit","1","664","0","Inf"
"IPR003712","Cyanate lyase, C-terminal","1","665","1","541"
"IPR003727","DUF149","1","666","0","Inf"
"IPR003729","DUF151","1","667","1","542"
"IPR003742","DUF163","1","668","1","544"
"IPR003749","DUF170","1","669","0","Inf"
"IPR003750","DUF171","1","670","1","545"
"IPR003776","DUF181","1","671","0","Inf"
"IPR003790","DUF187","1","672","0","Inf"
"IPR003796","DUF193","1","673","0","Inf"
"IPR003808","UPF0050_DUF","1","674","2","434"
"IPR003810","DUF204","1","675","0","Inf"
"IPR003827","DUF207","1","676","0","Inf"
"IPR003828","DUF208","1","677","0","Inf"
"IPR003834","Cytochrome c biogenesis protein transmembrane region","1","678","0","Inf"
"IPR003863","Domain of unknown function DUF220","1","679","0","Inf"
"IPR003879","Butyrophylin C-terminal DUF","1","680","0","Inf"
"IPR004007","Dak phosphatase domain","1","681","1","553"
"IPR004013","PHP domain C-terminal region","1","682","0","Inf"
"IPR004027","SEC-C motif","1","683","1","556"
"IPR004108","Hydrogenase large subunit, C-terminal","1","684","1","560"
"IPR004114","THUMP domain","1","685","1","561"
"IPR004115","GAD domain","1","686","1","562"
"IPR004164","Coenzyme A transferase 2","1","687","0","Inf"
"IPR004170","WWE domain","1","688","1","563"
"IPR004177","DDHD domain","1","689","1","564"
"IPR004184","Pyruvate formate-lyase","1","690","0","Inf"
"IPR004199","Beta galactosidase small chain N terminus","1","691","0","Inf"
"IPR004200","Beta galactosidase small chain C terminus","1","692","0","Inf"
"IPR004302","Spheroidin/spindolin","1","693","0","Inf"
"IPR004305","TENA/THI-4 protein","1","694","2","448"
"IPR004457","ZPR1 zinc finger domain","1","695","1","565"
"IPR004495","Methionyl-tRNA synthetase C-terminal region beta subunit","1","696","0","Inf"
"IPR004521","Uncharacterized domain 2","1","697","1","566"
"IPR004646","Fe-S type hydro-lyases tartrate/fumarate alpha region","1","698","0","Inf"
"IPR004647","Fe-S type hydro-lyases tartrate/fumarate beta region","1","699","0","Inf"
"IPR001138","Fungal transcriptional regulatory protein, N-terminus","0","Inf","1","487"
"IPR001766","Fork head domain","0","Inf","1","501"
"IPR001831","HIV transactivating regulatory protein (Tat)","0","Inf","1","503"
"IPR002181","Fibrinogen beta and gamma chains C-terminal globular domain","0","Inf","1","512"
"IPR003101","KIX domain","0","Inf","1","530"
"IPR004635","Signal peptide peptidase SppA 36K type","0","Inf","1","568"

